SONG,ARTIST
If Eternity Should Fail,Iron Maiden
Afraid to Shoot Strangers,Iron Maiden
Flash of the Blade,Iron Maiden
The Book of Souls,Iron Maiden
To Tame a Land,Iron Maiden
Rainmaker,Iron Maiden
22 Acacia Avenue,Iron Maiden
Purgatory,Iron Maiden
The Loneliness of the Long Distance Runner,Iron Maiden
Transylvania,Iron Maiden
The Prisoner,Iron Maiden
Iron Maiden,Iron Maiden
Be Quick or Be Dead,Iron Maiden
Blood Brothers,Iron Maiden
Brave New World,Iron Maiden
Murders in the Rue Morgue,Iron Maiden
Ghost of the Navigator,Iron Maiden
The Wicker Man,Iron Maiden
Only the Good Die Young,Iron Maiden
Stranger in a Strange Land,Iron Maiden
Remember Tomorrow,Iron Maiden
Wrathchild,Iron Maiden
Whiskey in the Jar,Metallica
Stone Dead Forever,Motörhead
Harvester of Sorrow,Metallica
Dreamer Deceiver,Judas Priest
Stained Class,Judas Priest
Riding on the Wind,Judas Priest
Delivering the Goods,Judas Priest
Stay Clean,Motörhead
Motorhead,Motörhead
The Hellion,Judas Priest
Ram It Down,Judas Priest
Between the Hammer & the Anvil,Judas Priest
Rapid Fire,Judas Priest
No Class,Motörhead
Wherever I May Roam,Metallica
Bomber,Motörhead
Rock Hard Ride Free,Judas Priest
One Shot at Glory,Judas Priest
Sad but True,Metallica
To Live is to Die,Metallica
Hell Bent for Leather,Judas Priest
(We Are) The Road Crew,Motörhead
Tyrant,Judas Priest
The Ripper,Judas Priest
Dissident Aggressor,Judas Priest
Sinner,Judas Priest
Screaming for Vengeance,Judas Priest
Diamonds and Rust,Judas Priest
Hell Patrol,Judas Priest
Jawbreaker,Judas Priest
Am I Evil?,Metallica
Stone Cold Crazy,Queen
Tomorrow's Dream,Black Sabbath
Behind the Wall of Sleep,Black Sabbath
Warning,Black Sabbath
Falling Off the Edge of the World,Black Sabbath
Spiral Architect,Black Sabbath
The Sign of the Southern Cross,Black Sabbath
Killing Yourself to Live,Black Sabbath
Lord of This World,Black Sabbath
Die Young,Black Sabbath
After Forever,Black Sabbath
Bark at the Moon,Ozzy Osbourne
Over the Mountain,Ozzy Osbourne
Breaking the Silence,Queensrÿche
Sweating Bullets,Megadeth
Jet City Woman,Queensrÿche
Speak,Queensrÿche
The Mission,Queensrÿche
Lucretia,Megadeth
Spreading the Disease,Queensrÿche
I Don't Believe in Love,Queensrÿche
Operation: Mindcrime,Queensrÿche
Revolution Calling,Queensrÿche
We Rock,Dio
Stand Up and Shout,Dio
Madhouse,Anthrax
Night of the Unborn,Mercyful Fate
Melissa,Mercyful Fate
Satan's Fall,Mercyful Fate
Desecration of Souls,Mercyful Fate
Gypsy,Mercyful Fate
Curse of the Pharaohs,Mercyful Fate
Nightmare,Mercyful Fate
Black Metal,Venom
The Family Ghost,King Diamond
Black Horsemen,King Diamond
Abigail,King Diamond
I Wanna Be Somebody,W.A.S.P.
Restless and Wild,Accept
Cirice,Ghost
Ritual,Ghost
Look at Yourself,Uriah Heep
Easy Livin',Uriah Heep
The Real Thing,Faith No More
Pictures of Home,Deep Purple
Cities on Flame with Rock and Roll,Blue Öyster Cult
We'll Burn the Sky,Scorpions
